CVE_GEOAGE,closeness,betweenness
0900300010376,1.0955810210094e-11,4854203.81945821
0900300010395,1.10513689699775e-11,6940654.36856108
0900300011105,1.04529416236811e-11,7582085.75952775
0900300011529,1.05222517525523e-11,10672291.4190162
0900300011571,1.05491559239689e-11,4714994.2567068
0900300011548,1.05892259154468e-11,5247096.98889294
0900300011783,1.05621370774793e-11,7241394.16854596
0900300011798,1.05682235488437e-11,8485669.43352103
0900300011586,1.05620367523868e-11,3546190.87914585
0900300011567,1.06861874203046e-11,10175254.6150284
0900300011552,1.06288678827871e-11,6264847.71799279
0900300010554,1.09445596963194e-11,7333186.32998413
090030001061A,1.08633324019236e-11,3920407.99049614
0900300011158,1.10617436561763e-11,5635194.4736673
0900300010272,1.11267882808899e-11,6867704.16234996
0900300010126,1.13251693366494e-11,9913561.95842983
0900300010018,1.13886129007771e-11,11631194.3894836
0900300010268,1.12199093826495e-11,8642060.08401071
0900300011124,1.0755723633912e-11,7007469.59245899
0900300011425,1.08423289232772e-11,5097445.3245123
090030001022A,1.14738505743494e-11,8284336.79698739
0900300010357,1.15231814133791e-11,12032944.9478987
0900300011622,1.0624662745886e-11,5431868.66796441
0900300010982,1.08551310460001e-11,5856631.78478118
0900300011444,1.08886548174447e-11,6460804.23484718
0900300011459,1.11364040926211e-11,8332166.95976364
090030001093A,1.09570378237202e-11,6171313.75015235
0900300010906,1.07619408843051e-11,7599939.84872488
0900300011340,1.08712642727043e-11,3558538.36352881
0900300011355,1.09826473700407e-11,5353641.59838527
0900300010713,1.12434618637729e-11,11339750.8300626
0900300011285,1.09251527409554e-11,5359285.1133846
090030001129A,1.06444666342704e-11,3780447.21000282
0900300011321,1.08409336832339e-11,4856021.32765077
0900300011779,1.11764722497986e-11,10307324.5799032
0900300010662,1.10567668509083e-11,6999992.95706616
0900300010658,1.09963345296829e-11,6997397.36229609
0900300010785,1.08221987072547e-11,4917329.58672301
0900300011317,1.04196102080929e-11,5073592.56428335
0900300011764,1.12148627802546e-11,11038765.6513726
090030001015A,1.14027918345658e-11,9534492.5627369
0900300011251,1.13760123515589e-11,6215602.83460603
0900300010605,1.12936652638542e-11,10642687.0769109
0900300010516,1.13675008713826e-11,8032150.98271603
0900300010501,1.13330010830892e-11,7060956.1679796
0900300011618,1.05822555110949e-11,5782309.59498602
0900300011228,1.14005123419825e-11,12982822.4659176
0900300010959,1.11395842296115e-11,6307539.18368894
0900300011232,1.13921253992884e-11,7754477.59860735
0900300010179,1.14862545910268e-11,9702072.98113895
0900300011590,1.06175099961559e-11,5336716.32305942
0900300011406,1.10995267491852e-11,6855548.33462656
0900300011393,1.11938493505313e-11,7219886.99909077
0900300011181,1.0987626397806e-11,7209856.77767316
090030001175A,1.0844358537558e-11,6089792.96752398
0900300011270,1.11142460110262e-11,5499934.13057245
0900300011266,1.13265383616075e-11,4882458.90924046
0900300011247,1.12971169766566e-11,7380368.23099536
0900300010588,1.12946996117269e-11,11808075.0629458
0900300010520,1.13317265349055e-11,7366009.30237698
0900300010535,1.13890349916591e-11,9148531.32872934
0900300010323,1.13749282660725e-11,7864572.94783924
0900300010342,1.14288993714941e-11,8662726.56824641
0900300010200,1.15061735273207e-11,7485927.20594775
0900300010978,1.07517189595894e-11,5787391.0031289
0900300010643,1.0928536622338e-11,6575581.40488842
0900300011637,1.06677895598081e-11,6189289.94843996
0900300011213,1.09105813169122e-11,7744439.82248008
0900300011069,1.09456861041273e-11,5915570.75535073
0900300011694,1.08971783845917e-11,8680032.30051066
090030001136A,1.03177420012377e-11,3652614.6824008
