IMU,platform,station,stop_area,stop_position,yes
-1.098984459,NA,NA,NA,NA,NA
-1.10758713,6.15384615384615,0,0,2.36453201970443,0
-0.947425593,NA,NA,NA,NA,NA
-1.226403715,NA,NA,NA,NA,NA
-0.962885564,NA,NA,NA,NA,NA
-1.018970023,NA,NA,NA,NA,NA
-1.376144992,NA,NA,NA,NA,NA
-0.712900194,NA,NA,NA,NA,NA
-0.656451728,NA,NA,NA,NA,NA
0.307814867,NA,NA,NA,NA,NA
-0.853510946,NA,NA,NA,NA,NA
-0.261677966,NA,NA,NA,NA,NA
-0.773119821,NA,NA,NA,NA,NA
-0.792751077,NA,NA,NA,NA,NA
-0.156368389,NA,NA,NA,NA,NA
-0.710369833,NA,NA,NA,NA,NA
-0.523668256,NA,NA,NA,NA,NA
-0.575232846,NA,NA,NA,NA,NA
-0.638772009,NA,NA,NA,NA,NA
-0.54280209,NA,NA,NA,NA,NA
-0.803585393,NA,NA,NA,NA,NA
-0.917469354,NA,NA,NA,NA,NA
-0.69106595,NA,NA,NA,NA,NA
-0.48478414,NA,NA,NA,NA,NA
-0.400479639,NA,NA,NA,NA,NA
0.160488639,NA,NA,NA,NA,NA
0.553242992,NA,NA,NA,NA,NA
-0.470105033,NA,NA,NA,NA,NA
-0.892004076,NA,NA,NA,NA,NA
0.45393978,NA,NA,NA,NA,NA
-0.218557698,NA,NA,NA,NA,NA
0.072724339,NA,NA,NA,NA,NA
-0.194970109,NA,NA,NA,NA,NA
0.284786565,NA,NA,NA,NA,NA
0.086657175,NA,NA,NA,NA,NA
-0.140545636,NA,NA,NA,NA,NA
-1.000399642,NA,NA,NA,NA,NA
-0.655897863,NA,NA,NA,NA,NA
-0.994726003,NA,NA,NA,NA,NA
-0.911338881,NA,NA,NA,NA,NA
0.106756013,NA,NA,NA,NA,NA
-0.421567378,NA,NA,NA,NA,NA
-0.261566228,NA,NA,NA,NA,NA
-0.145891897,NA,NA,NA,NA,NA
0.074137472,NA,NA,NA,NA,NA
-0.138565326,NA,NA,NA,NA,NA
-0.190952324,NA,NA,NA,NA,NA
-0.339897565,NA,NA,NA,NA,NA
-0.176590323,NA,NA,NA,NA,NA
0.166837994,NA,NA,NA,NA,NA
-0.511836824,NA,NA,NA,NA,NA
-0.623960717,NA,NA,NA,NA,NA
0.208556825,NA,NA,NA,NA,NA
-1.029735518,NA,NA,NA,NA,NA
-1.15769672,NA,NA,NA,NA,NA
-0.667089962,NA,NA,NA,NA,NA
-0.596137053,NA,NA,NA,NA,NA
-0.928023116,NA,NA,NA,NA,NA
-0.541384982,NA,NA,NA,NA,NA
-0.25674871,NA,NA,NA,NA,NA
-1.171751646,NA,NA,NA,NA,NA
-1.163047717,NA,NA,NA,NA,NA
-1.29943233,NA,NA,NA,NA,NA
-1.332481115,NA,NA,NA,NA,NA
-1.275735704,NA,NA,NA,NA,NA
-0.891144543,NA,NA,NA,NA,NA
-0.917140531,NA,NA,NA,NA,NA
-0.746953191,NA,NA,NA,NA,NA
-0.774039766,NA,NA,NA,NA,NA
-1.32091402,NA,NA,NA,NA,NA
-0.990990685,NA,NA,NA,NA,NA
-0.858411704,NA,NA,NA,NA,NA
-1.217090107,NA,NA,NA,NA,NA
-1.282754177,NA,NA,NA,NA,NA
-0.263492611,NA,NA,NA,NA,NA
-0.190800389,NA,NA,NA,NA,NA
-0.741992355,NA,NA,NA,NA,NA
-0.641058399,NA,NA,NA,NA,NA
-0.681976749,NA,NA,NA,NA,NA
0.573430985,NA,NA,NA,NA,NA
-0.141668973,NA,NA,NA,NA,NA
-1.189789418,NA,NA,NA,NA,NA
-0.521806503,NA,NA,NA,NA,NA
-0.558005996,NA,NA,NA,NA,NA
-0.596868743,NA,NA,NA,NA,NA
-0.331653837,NA,NA,NA,NA,NA
-0.308535795,NA,NA,NA,NA,NA
-0.790157955,NA,NA,NA,NA,NA
-0.680877182,NA,NA,NA,NA,NA
-1.040562879,NA,NA,NA,NA,NA
-0.730065772,NA,NA,NA,NA,NA
0.049076264,NA,NA,NA,NA,NA
-0.658305595,NA,NA,NA,NA,NA
-0.828446926,NA,NA,NA,NA,NA
-0.462015154,NA,NA,NA,NA,NA
-0.8992232,NA,NA,NA,NA,NA
-1.112425792,NA,NA,NA,NA,NA
-1.170553833,NA,NA,NA,NA,NA
-0.396263581,NA,NA,NA,NA,NA
-0.719864284,NA,NA,NA,NA,NA
-0.618369661,NA,NA,NA,NA,NA
-0.430424071,NA,NA,NA,NA,NA
-1.119250829,NA,NA,NA,NA,NA
-1.049885259,NA,NA,NA,NA,NA
-1.123983638,NA,NA,NA,NA,NA
-0.904237626,NA,NA,NA,NA,NA
-0.394681128,NA,NA,NA,NA,NA
-0.622946856,NA,NA,NA,NA,NA
-0.393892984,NA,NA,NA,NA,NA
-0.381564891,NA,NA,NA,NA,NA
-0.446841461,NA,NA,NA,NA,NA
-0.664420402,NA,NA,NA,NA,NA
-0.692035369,0,0,0,1.57635467980296,0
-0.603246295,NA,NA,NA,NA,NA
0.16187416,NA,NA,NA,NA,NA
-0.598629339,32.8205128205128,0,0,0,0
-0.717742319,NA,NA,NA,NA,NA
-1.088025027,NA,NA,NA,NA,NA
-0.328529136,NA,NA,NA,NA,NA
-0.582592881,NA,NA,NA,NA,NA
-0.93297298,NA,NA,NA,NA,NA
-0.832432182,NA,NA,NA,NA,NA
-0.814615784,NA,NA,NA,NA,NA
-0.447975992,NA,NA,NA,NA,NA
-0.227600236,NA,NA,NA,NA,NA
-0.25636296,NA,NA,NA,NA,NA
-0.859878272,NA,NA,NA,NA,NA
-1.307639942,NA,NA,NA,NA,NA
-0.748115941,NA,NA,NA,NA,NA
-1.334192434,NA,NA,NA,NA,NA
-0.90055069,NA,NA,NA,NA,NA
-0.39424349,NA,NA,NA,NA,NA
-0.397692876,NA,NA,NA,NA,NA
-0.215983891,NA,NA,NA,NA,NA
-0.964311575,NA,NA,NA,NA,NA
-0.930937874,NA,NA,NA,NA,NA
-0.711747463,NA,NA,NA,NA,NA
-0.837456194,NA,NA,NA,NA,NA
-0.761153948,NA,NA,NA,NA,NA
-0.600439521,NA,NA,NA,NA,NA
-0.771089183,NA,NA,NA,NA,NA
-0.896434251,NA,NA,NA,NA,NA
-0.601367303,NA,NA,NA,NA,NA
-0.648539723,NA,NA,NA,NA,NA
-0.704879467,NA,NA,NA,NA,NA
-0.506440298,NA,NA,NA,NA,NA
-1.236143308,NA,NA,NA,NA,NA
-1.017395108,NA,NA,NA,NA,NA
-1.124772956,NA,NA,NA,NA,NA
-0.87288355,NA,NA,NA,NA,NA
-0.472354377,NA,NA,NA,NA,NA
-0.94734925,NA,NA,NA,NA,NA
-0.740540061,NA,NA,NA,NA,NA
-0.474275634,NA,NA,NA,NA,NA
-0.692223076,NA,NA,NA,NA,NA
-0.770502059,0,0,0,3.15270935960591,0
-0.16870377,NA,NA,NA,NA,NA
-0.598920055,NA,NA,NA,NA,NA
0.30452087,NA,NA,NA,NA,NA
-0.286436012,NA,NA,NA,NA,NA
-0.433123345,NA,NA,NA,NA,NA
-1.201933839,NA,NA,NA,NA,NA
-1.180929007,NA,NA,NA,NA,NA
-0.954544948,NA,NA,NA,NA,NA
-0.539491782,NA,NA,NA,NA,NA
0.17155894,NA,NA,NA,NA,NA
-0.871024588,NA,NA,NA,NA,NA
-0.908967174,NA,NA,NA,NA,NA
-0.53634277,NA,NA,NA,NA,NA
-1.090445032,NA,NA,NA,NA,NA
-0.454588786,NA,NA,NA,NA,NA
-0.29056344,NA,NA,NA,NA,NA
0.011124636,NA,NA,NA,NA,NA
0.063923857,NA,NA,NA,NA,NA
-1.361177819,NA,NA,NA,NA,NA
-1.236520051,NA,NA,NA,NA,NA
-0.871711472,NA,NA,NA,NA,NA
-0.413033811,NA,NA,NA,NA,NA
-0.327299554,NA,NA,NA,NA,NA
-0.46597399,NA,NA,NA,NA,NA
-0.583800712,NA,NA,NA,NA,NA
-0.265593624,NA,NA,NA,NA,NA
-0.77438213,NA,NA,NA,NA,NA
